name,latitude,longitude,date
Vanessa atalanta,34.17561,-118.375644,2015-03-28
Vanessa atalanta,34.120297,-118.4116,2015-03-30
Vanessa atalanta,34.033011,-118.314475,2015-04-02
Vanessa atalanta,34.033063,-118.314448,2015-04-07
Vanessa atalanta,34.135608,-118.54615,2015-05-16
Vanessa atalanta,33.933712,-117.95055,2017-11-01
Vanessa atalanta,38.037456,-122.825883,2017-11-05
Vanessa atalanta,25.661519,-100.261424,2017-11-01
Vanessa atalanta,33.677855,-117.729405,2017-11-06
Vanessa atalanta,37.561852,-122.322333,2017-11-06
Vanessa atalanta,36.602835,-121.856371,2017-11-07
Vanessa atalanta,37.752338,-122.392945,2017-11-11
Vanessa atalanta,25.962394,-100.019642,2017-11-12
Vanessa atalanta,20.528044,-100.366425,2017-11-15
Vanessa atalanta,38.498886,-122.703847,2017-11-17
Vanessa atalanta,37.926532,-122.161649,2017-11-19
Vanessa atalanta,30.570559,-100.640496,2017-11-15
Vanessa atalanta,25.616361,-101.088054,2012-03-25
Vanessa atalanta,37.753986,-122.132377,2017-11-21
Vanessa atalanta,36.991386,-122.060872,2017-11-22
Vanessa atalanta,29.260793,-100.964184,2015-11-05
Vanessa atalanta,37.736492,-122.487642,2017-11-24
Vanessa atalanta,26.537563,-100.533768,2017-11-25
Vanessa atalanta,27.860082,-101.139038,2010-05-18
Vanessa atalanta,37.819568,-122.142763,2017-11-24
Vanessa atalanta,37.90543,-122.246955,2017-11-19
Vanessa atalanta,26.515482,-100.511993,2017-11-27
Vanessa atalanta,38.376521,-122.808275,2017-11-28
Vanessa atalanta,37.877292,-122.218995,2017-11-29
Vanessa atalanta,25.659894,-100.261681,2017-11-28
Vanessa atalanta,32.95731,-105.74249,2012-05-01
Vanessa atalanta,37.089326,-121.818365,2016-03-14
Vanessa atalanta,37.77008,-122.464517,2016-03-15
Vanessa atalanta,37.765053,-122.41033,2016-03-17
Vanessa atalanta,37.913377,-121.948779,2016-03-18
Vanessa atalanta,36.81831,-121.733795,2016-03-19
Vanessa atalanta,34.115929,-100.35109,2016-03-20
Vanessa atalanta,31.490749,-110.858231,2013-02-07
Vanessa atalanta,37.757116,-122.418962,2014-05-11
Vanessa atalanta,37.869713,-122.222948,2014-06-13
Vanessa atalanta,40.477,-121.185944,2014-05-24
Vanessa atalanta,38.485322,-123.078973,2014-06-12
Vanessa atalanta,37.788001,-122.483446,2014-06-15
Vanessa atalanta,37.767255,-122.466168,2014-06-18
Vanessa atalanta,37.972399,-122.712428,2014-06-01
Vanessa atalanta,38.095674,-122.157849,2014-06-19
Vanessa atalanta,20.186,-100.144,1980-09-20
Vanessa atalanta,30.405,-107.848,1985-07-14
Vanessa atalanta,23.45,-110,1990-11-01
Vanessa atalanta,35.854418,-100.396663,2016-06-10
Vanessa atalanta,45.488708,-122.509712,2016-05-10
Vanessa atalanta,39.375346,-123.813483,2016-06-24
Vanessa atalanta,35.033258,-120.555555,2016-06-26
Vanessa atalanta,37.188687,-122.325019,2016-06-26
Vanessa atalanta,51.004101,-114.115087,2016-06-27
Vanessa atalanta,49.255916,-124.082808,2016-06-26
Vanessa atalanta,37.768916,-122.465767,2016-06-30
Vanessa atalanta,48.869457,-123.347036,2016-06-04
Vanessa atalanta,37.755008,-122.443153,2016-06-30
Vanessa atalanta,47.219967,-123.102707,2016-06-05
Vanessa atalanta,37.343196,-122.12855,2016-07-01
Vanessa atalanta,40.686532,-124.126376,2016-06-26
Vanessa atalanta,37.762547,-122.43763,2016-07-02
Vanessa atalanta,26.553215,-100.506706,2015-04-19
Vanessa atalanta,37.713633,-122.449937,2016-07-03
Vanessa atalanta,34.281088,-117.838637,2016-07-03
Vanessa atalanta,20.815324,-102.765974,2016-07-01
Vanessa atalanta,37.930309,-122.681462,2016-07-03
Vanessa atalanta,47.931066,-123.75,2016-07-03
Vanessa atalanta,40.86938,-124.072783,2016-07-04
Vanessa atalanta,37.941744,-122.739891,2016-07-06
Vanessa atalanta,37.69442,-121.182233,2016-06-22
Vanessa atalanta,37.690808,-121.182883,2016-07-06
Vanessa atalanta,37.78258,-122.461342,2016-07-08
Vanessa atalanta,36.281656,-121.857358,2016-07-07
Vanessa atalanta,48.890551,-123.347639,2016-07-13
Vanessa atalanta,48.962286,-123.539938,2016-07-13
Vanessa atalanta,37.455277,-122.388492,2016-07-15
Vanessa atalanta,37.770867,-122.447623,2016-07-16
